Дата просмотра,Кол-во рекламы,Вид рекламы,Количество повторений
8,46,Смартфоны Huawei,12
7,4,Умные часы и браслеты Xiaomi,6
8,71,Кондиционеры Haier,11
7,14,Палатки High Peak,15
8,87,Газонокосилки PATRIOT,19
8,5,Концерт,15
7,73,Велосипеды Novatrack,11
8,40,Смартфоны Apple,10
7,24,Ролик,12
8,61,Гироскутеры Hoverbot,6
8,22,Путешестви,14
8,23,Планшеты Apple,7
6,40,Холодильники Atlant,18
7,73,Палатки BTrace,9
6,65,Палатки BTrace,14
8,19,Телевизоры Xiaomi,12
6,92,Палатки Alexika,5
6,49,Микроволновые печи Maunfeld,11
6,32,Ролик,7
6,41,Кофеварки и кофемашины Bosch,8
8,37,Кондиционеры Hisense,8
6,3,Палатки High Peak,11
6,88,Газонокосилки PATRIOT,12
7,6,Кофеварки и кофемашины DeLonghi,7
8,73,Смартфоны Apple,6
7,49,Смартфоны Xiaomi,10
8,68,Планшеты BQ,7
6,42,Наушники JBL,7
7,85,Сериал,9
6,69,Холодильники Beko,20
7,63,Велосипеды STELS,6
8,71,Газонокосилки PATRIOT,8
8,75,Концерт,10
7,36,Наручные часы Jacques Lemans,8
6,65,Компьютерные кресл,10
6,76,Наручные часы Apple,6
7,43,Парфюмерия Giorgio Armani,11
8,13,Ноутбуки Xiaomi,10
6,14,Кофеварки и кофемашины TEENRA,12
7,92,Наушники Beats,9
8,61,Сериал,10
8,17,Наручные часы Apple,9
6,102,Парфюмерия Killian,9
6,6,Палатки BTrace,9
8,10,Планшеты Lenovo,15
6,47,Микроволновые печи Bosch,11
8,75,Кофеварки и кофемашины Bosch,5
8,27,Телевизоры Xiaomi,11
8,54,Вентиляторы Ballu,10
8,33,Кофеварки и кофемашины TEENRA,8
7,10,Телевизоры Samsung,9
7,29,Парфюмерия Killian,10
7,71,Кофеварки и кофемашины DeLonghi,16
8,83,Микроволновые печи Bosch,14
6,49,Газонокосилки Ресанта,10
8,58,Велосипеды Forward,8
7,47,Кондиционеры Ballu,11
7,91,Ноутбуки Huawei,6
8,62,Гироскутеры MiniPro,11
8,70,Газонокосилки Champion,11
6,62,Вентиляторы Ballu,8
7,92,Смартфоны Apple,9
8,78,Сумк,11
7,90,Кондиционеры Hisense,10
8,28,Вентиляторы Centek,10
8,77,Велосипеды Novatrack,7
6,25,Кин,17
6,25,Кофеварки и кофемашины TEENRA,5
8,32,Газонокосилки Зубр,8
7,75,Вентиляторы Equation,6
8,69,Газонокосилки Champion,9
6,95,Надувные бассейн,10
6,20,Наручные часы Jacques Lemans,12
8,88,Гироскутеры MiniPro,12
7,0,Холодильники Atlant,6
6,10,Смартфоны Apple,11
6,57,Наушники Beats,7
6,36,Гироскутеры GT,10
7,45,Кондиционеры Haier,11
6,41,Телевизоры Samsung,12
7,54,Палатки High Peak,7
8,41,Палатки Alexika,13
7,59,Кондиционеры Electrolux,12
7,27,Телевизоры Samsung,9
8,83,Холодильники Nordfrost,7
6,31,Газонокосилки Зубр,10
6,54,Телевизоры Xiaomi,16
7,96,Ноутбуки Lenovo,15
8,25,Наушники JBL,11
6,81,Газонокосилки Champion,11
7,69,Наручные часы Jacques Lemans,13
7,40,Телевизоры Samsung,10
8,98,Велосипеды Novatrack,8
8,73,Холодильники Atlant,8
8,30,Наушники Beats,14
8,63,Кондиционеры Hisense,11
6,17,Газонокосилки Huter,11
8,71,Ноутбуки Lenovo,11
7,28,Холодильники Samsung,7
7,86,Концерт,8
6,5,Кофеварки и кофемашины TEENRA,8
6,5,Наручные часы Jacques Lemans,6
7,89,Велосипеды Forward,12
6,83,Концерт,6
6,42,Микроволновые печи Midea,10
8,43,Микроволновые печи Maunfeld,13
7,10,Ноутбуки Lenovo,14
7,43,Наушники JBL,7
6,13,Кондиционеры Hisense,11
8,20,Холодильники Nordfrost,10
7,12,Палатки High Peak,12
8,90,Велосипеды STELS,9
8,64,Кондиционеры ROYAL Clima,12
6,5,Холодильники Samsung,12
8,72,Умные часы и браслеты Apple,9
7,78,Велосипеды Stark,9
6,91,Ноутбуки Xiaomi,8
8,32,Микроволновые печи Gorenje,15
7,46,Гироскутеры GT,12
6,67,Гироскутеры MiniPro,9
8,72,Кондиционеры Haier,14
7,31,Чемодан,12
7,19,Планшеты Xiaomi,11
8,67,Наушники JBL,8
6,94,Планшеты Xiaomi,10
6,95,Смартфоны One Plus,11
7,84,Наушники Xiaomi,7
7,94,Палатки Tplus,8
7,45,Наручные часы Apple,10
8,27,Микроволновые печи Midea,12
7,12,Велосипеды Stark,12
8,21,Ролик,11
7,65,Микроволновые печи Midea,8
8,45,Микроволновые печи Gorenje,12
8,63,Смартфоны Apple,10
7,16,Планшеты Samsung,17
8,78,Ноутбуки Xiaomi,12
7,31,Вентиляторы Equation,13
6,95,Холодильники Бирюса,8
6,98,Велосипеды Stark,10
6,26,Наушники JBL,9
7,29,Ноутбуки Samsung:HP,8
8,73,Смартфоны One Plus,11
6,44,Концерт,5
8,21,Парфюмерия SHAIK,7
8,88,Микроволновые печи Midea,11
8,67,Холодильники Beko,13
6,57,Экскурс,10
8,27,Наушники JBL,16
7,54,Смартфоны Huawei,7
6,31,Компьютерные кресл,10
7,47,Велосипеды Forward,12
6,68,Чемодан,9
7,96,Холодильники Бирюса,6
6,54,Смартфоны One Plus,7
6,45,Парфюмерия Killian,10
7,43,Микроволновые печи Midea,9
8,48,Телевизоры Xiaomi,10
6,28,Холодильники Atlant,11
7,75,Газонокосилки Champion,14
8,77,Кофеварки и кофемашины TEENRA,14
6,91,Вентиляторы Ballu,13
6,45,Палатки Alexika,8
7,47,Гироскутеры Zaxboard,9
7,67,Кофеварки и кофемашины Bosch,6
6,68,Кондиционеры Ballu,11
8,45,Смартфоны Xiaomi,12
7,40,Планшеты Samsung,8
8,44,Газонокосилки Зубр,13
6,58,Ноутбуки Huawei,8
8,63,Велосипеды Forward,9
8,72,Велосипеды Forward,10
6,74,Велосипеды STELS,8
8,48,Вентиляторы Scarlett,9
8,14,Ноутбуки Acer,6
8,77,Смартфоны One Plus,9
8,43,Газонокосилки Ресанта,8
7,64,Велосипеды STELS,9
6,60,Кондиционеры ROYAL Clima,9
8,67,Планшеты Huawei,8
8,93,Кондиционеры Hisense,8
7,40,Газонокосилки Зубр,9
6,57,Туристические рюкзак,10
8,78,Холодильники Бирюса,5
6,68,Парфюмерия Giorgio Armani,9
8,97,Холодильники Бирюса,6
8,8,Микроволновые печи Midea,13
7,3,Ноутбуки Acer,12
6,9,Гироскутеры Zaxboard,13
8,76,Кондиционеры Ballu,10
7,6,Смартфоны Apple,8
8,74,Микроволновые печи Bosch,8
7,59,Кондиционеры Haier,6
8,13,Чемодан,9
8,8,Телевизоры Samsung,11
7,23,Газонокосилки Huter,8
8,15,Газонокосилки PATRIOT,12
8,55,Велосипеды Forward,8
8,3,Чемодан,11
6,84,Газонокосилки Champion,10
8,99,Палатки Talberg,5
8,34,Наручные часы Apple,16
6,17,Умные часы и браслеты Samsung,9
7,48,Ноутбуки Lenovo,6
6,34,Велосипеды Novatrack,6
7,51,Наручные часы Traser,13
8,65,Кондиционеры Haier,13
6,60,Телевизоры LG,7
6,35,Вентиляторы Equation,12
8,10,Холодильники LG,10
6,8,Ноутбуки Huawei,7
7,37,Вентиляторы Equation,11
7,47,Планшеты Huawei,12
8,18,Газонокосилки Champion,16
7,35,Гироскутеры Zaxboard,12
6,98,Сериал,9
8,21,Кондиционеры Hisense,11
8,0,Гироскутеры GT,8
8,77,Микроволновые печи Gorenje,13
6,61,Вентиляторы Centek,14
7,2,Велосипеды Novatrack,8
6,78,Планшеты Samsung,10
7,48,Микроволновые печи Midea,8
7,95,Холодильники Бирюса,9
6,53,Планшеты Apple,11
8,98,Наручные часы Xiaomi,5
8,29,Смартфоны Apple,9
7,71,Купальник,12
6,65,Гироскутеры GT,11
8,78,Газонокосилки Зубр,15
8,68,Планшеты Xiaomi,8
7,76,Смартфоны Xiaomi,10
6,76,Наручные часы Traser,13
8,24,Гироскутеры MiniPro,10
6,57,Парфюмерия Killian,13
7,95,Кондиционеры Hisense,11
7,84,Палатки High Peak,5
6,2,Телевизоры Samsung,9
8,48,Телевизоры LG,8
7,66,Ноутбуки Asus,12
6,91,Парфюмерия Giorgio Armani,8
7,36,Наручные часы Xiaomi,10
7,28,Кондиционеры Ballu,16
7,8,Кофеварки и кофемашины Bosch,9
6,16,Наручные часы Jacques Lemans,7
6,71,Кондиционеры ROYAL Clima,10
8,23,Гироскутеры GT,9
7,76,Наручные часы Casio,15
6,15,Гироскутеры Zaxboard,7
7,91,Планшеты Samsung,13
8,57,Наушники Apple,17
7,70,Кофеварки и кофемашины Bosch,14
7,26,Велосипеды Stark,11
8,50,Кофеварки и кофемашины Bosch,10
8,61,Микроволновые печи Maunfeld,10
6,15,Вентиляторы Ballu,12
6,80,Планшеты Lenovo,12
7,38,Кондиционеры Ballu,11
8,22,Парфюмерия SHAIK,18
7,55,Газонокосилки Huter,11
7,97,Компьютерные кресл,6
8,69,Телевизоры LG,8
6,66,Туристические рюкзак,9
6,78,Кин,8
6,73,Газонокосилки PATRIOT,11
7,66,Кондиционеры Ballu,8
7,18,Микроволновые печи Midea,7
8,89,Телевизоры Xiaomi,15
6,62,Холодильники Samsung,12
8,42,Телевизоры LG,11
8,88,Кофеварки и кофемашины TEENRA,10
7,20,Ноутбуки Xiaomi,13
7,80,Планшеты Samsung,17
7,44,Палатки Alexika,9
7,15,Чемодан,8
8,39,Смартфоны Samsung,8
7,14,Наручные часы Jacques Lemans,14
8,78,Планшеты BQ,15
6,66,Кондиционеры Ballu,9
7,35,Велосипеды STELS,13
7,5,Ноутбуки Huawei,10
8,79,Наушники JBL,12
6,89,Парфюмерия SHAIK,8
8,89,Планшеты Xiaomi,9
6,45,Газонокосилки Ресанта,8
8,5,Сериал,12
6,28,Умные часы и браслеты Xiaomi,11
7,48,Палатки BTrace,6
8,10,Ноутбуки Xiaomi,6
7,75,Парфюмерия Killian,8
6,95,Наручные часы Traser,8
8,48,Газонокосилки Huter,8
7,5,Ноутбуки Asus,17
8,76,Холодильники Atlant,6
8,62,Наручные часы Jacques Lemans,10
6,98,Планшеты BQ,6
7,41,Парфюмерия SHAIK,14
7,47,Газонокосилки Champion,9
8,46,Сериал,15
6,29,Ролик,10
7,0,Планшеты Huawei,6
7,78,Холодильники Samsung,7
8,21,Концерт,7
8,13,Холодильники Nordfrost,10
7,48,Экскурс,11
6,69,Холодильники LG,12
7,88,Вентиляторы Equation,9
6,90,Кин,11
7,17,Микроволновые печи Midea,10
6,35,Ноутбуки Asus,8
7,21,Ноутбуки Lenovo,13
7,23,Ноутбуки Asus,13
6,24,Газонокосилки Champion,17
8,29,Смартфоны One Plus,11
6,37,Телевизоры Samsung,7
8,97,Сумк,7
6,10,Планшеты Huawei,9
6,5,Холодильники Nordfrost,6
8,67,Газонокосилки PATRIOT,12
8,8,Микроволновые печи Gorenje,9
6,72,Велосипеды Forward,8
6,3,Вентиляторы Equation,9
7,31,Наручные часы Traser,10
6,13,Велосипеды Forward,13
7,78,Газонокосилки PATRIOT,7
7,74,Планшеты Samsung,12
8,49,Холодильники Nordfrost,10
8,53,Холодильники Beko,7
8,44,Холодильники LG,10
7,40,Холодильники Бирюса,10
7,19,Наушники Xiaomi,9
8,87,Планшеты BQ,11
7,55,Ноутбуки Lenovo,11
8,0,Сумк,5
6,86,Кондиционеры Ballu,10
6,5,Холодильники LG,12
7,47,Наручные часы Jacques Lemans,12
6,9,Кофеварки и кофемашины DeLonghi,13
8,58,Кондиционеры ROYAL Clima,12
7,93,Планшеты Lenovo,10
8,82,Ноутбуки Lenovo,9
8,71,Умные часы и браслеты Samsung,10
8,36,Наушники Beats,7
6,88,Газонокосилки Champion,13
7,94,Концерт,11
6,79,Чемодан,9
8,13,Смартфоны Apple,11
8,58,Палатки High Peak,14
8,24,Парфюмерия Giorgio Armani,15
8,26,Парфюмерия Giorgio Armani,11
7,27,Велосипеды STELS,8
6,96,Гироскутеры Zaxboard,10
8,16,Палатки Talberg,6
7,81,Холодильники Nordfrost,15
7,25,Холодильники LG,14
7,5,Кондиционеры Hisense,6
6,28,Чемодан,8
8,15,Вентиляторы Centek,12
8,2,Ноутбуки Apple,8
